pers_num,term_dt,term_rsn,exit_classification,org_nm,job_lvl,tenure_band,location,period
E00026,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00027,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00028,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00029,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Raleigh,previous
E00030,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Remote,previous
E00031,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00032,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00033,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00034,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Austin,previous
E00035,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Raleigh,previous
E00036,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00037,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00038,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00039,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Remote,previous
E00040,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Austin,previous
E00041,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00042,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00043,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00044,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Raleigh,previous
E00045,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Remote,previous
E00046,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00047,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00048,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00049,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Austin,previous
E00050,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Raleigh,previous
E00051,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00052,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00053,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00054,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Remote,previous
E00055,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Austin,previous
E00056,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00057,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00058,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00059,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Raleigh,previous
E00060,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Remote,previous
E00061,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00062,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00063,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00064,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Austin,previous
E00065,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Raleigh,previous
E00066,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00067,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00068,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00069,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Remote,previous
E00070,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Austin,previous
E00071,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00072,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00073,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00074,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Raleigh,previous
E00075,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Remote,previous
E00076,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00077,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00078,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00079,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Austin,previous
E00080,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Raleigh,previous
E00081,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00082,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00083,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00084,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Remote,previous
E00085,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Austin,previous
E00086,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00087,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00088,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00089,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Raleigh,previous
E00090,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Remote,previous
E00091,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00092,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00093,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00094,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Austin,previous
E00095,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Raleigh,previous
E00096,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00097,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00098,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00099,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Remote,previous
E00100,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Austin,previous
E00101,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00102,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00103,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00104,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Raleigh,previous
E00105,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Remote,previous
E00106,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00107,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00108,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00109,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Austin,previous
E00110,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Raleigh,previous
E00111,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00112,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00113,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00114,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Remote,previous
E00115,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Austin,previous
E00116,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00117,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00118,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00119,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Raleigh,previous
E00120,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Remote,previous
E00121,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00122,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00123,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00124,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Austin,previous
E00125,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Raleigh,previous
E00701,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Raleigh,previous
E00702,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Remote,previous
E00703,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Austin,previous
E00704,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,2–4 years,Raleigh,previous
E00705,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,2–4 years,Remote,previous
E00706,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Austin,previous
E00707,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Raleigh,previous
E00708,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Remote,previous
E00709,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,2–4 years,Austin,previous
E00710,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,2–4 years,Raleigh,previous
E00711,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Remote,previous
E00712,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Austin,previous
E00713,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Raleigh,previous
E00714,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,2–4 years,Remote,previous
E00715,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,2–4 years,Austin,previous
E00716,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Raleigh,previous
E00717,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Remote,previous
E00718,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Austin,previous
E00719,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,2–4 years,Raleigh,previous
E00720,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,2–4 years,Remote,previous
E00721,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Austin,previous
E00722,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Raleigh,previous
E00723,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Remote,previous
E00724,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,2–4 years,Austin,previous
E00725,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,2–4 years,Raleigh,previous
E00726,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Remote,previous
E00727,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Austin,previous
E00728,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Raleigh,previous
E00729,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,2–4 years,Remote,previous
E00730,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,2–4 years,Austin,previous
E00731,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Raleigh,previous
E00732,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Remote,previous
E00733,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Austin,previous
E00734,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,2–4 years,Raleigh,previous
E00735,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,2–4 years,Remote,previous
E00736,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Austin,previous
E00737,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Raleigh,previous
E00738,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Remote,previous
E00739,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,2–4 years,Austin,previous
E00740,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,2–4 years,Raleigh,previous
E00741,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Remote,previous
E00742,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Austin,previous
E00743,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Raleigh,previous
E00744,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,2–4 years,Remote,previous
E00745,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,2–4 years,Austin,previous
E00746,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Raleigh,previous
E00747,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Remote,previous
E00748,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Austin,previous
E00749,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,2–4 years,Raleigh,previous
E00750,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,2–4 years,Remote,previous
E00751,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Austin,previous
E00752,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Raleigh,previous
E00753,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Remote,previous
E00754,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,2–4 years,Austin,previous
E00755,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,2–4 years,Raleigh,previous
E00756,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Remote,previous
E00757,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Austin,previous
E00758,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,2–4 years,Raleigh,previous
E00759,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,2–4 years,Remote,previous
E01501,2025-10-15,Retirement,Retirement,Engineering,L5–L6,5+ years,Austin,previous
E01502,2025-10-15,Retirement,Retirement,Engineering,L5–L6,5+ years,Raleigh,previous
E01503,2025-10-15,Retirement,Retirement,Engineering,L5–L6,5+ years,Remote,previous
E01504,2025-10-15,Retirement,Retirement,Engineering,L4,5+ years,Austin,previous
E01505,2025-10-15,Retirement,Retirement,Engineering,L7+,5+ years,Raleigh,previous
E01506,2025-10-15,Retirement,Retirement,Engineering,L5–L6,5+ years,Remote,previous
E01507,2025-10-15,Retirement,Retirement,Engineering,L5–L6,5+ years,Austin,previous
E01508,2025-10-15,Retirement,Retirement,Engineering,L5–L6,5+ years,Raleigh,previous
E01509,2025-10-15,Retirement,Retirement,Engineering,L4,5+ years,Remote,previous
E01510,2025-10-15,Retirement,Retirement,Engineering,L7+,5+ years,Austin,previous
E01511,2025-10-15,Retirement,Retirement,Engineering,L5–L6,5+ years,Raleigh,previous
E01512,2025-10-15,Retirement,Retirement,Engineering,L5–L6,5+ years,Remote,previous
E02001,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02002,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02003,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02004,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02005,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02006,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02007,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02008,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02009,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02010,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02011,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02012,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02013,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02014,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02015,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02016,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02017,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02018,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02019,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02020,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02021,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02022,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02023,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02024,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02025,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02026,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02027,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02028,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02029,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02030,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02031,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02032,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02033,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02034,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02035,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02036,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02037,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02038,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02039,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02040,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02041,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02042,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02043,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02044,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02045,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02046,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02047,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02048,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02049,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02050,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02051,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02052,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02053,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02054,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02055,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02056,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02057,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02058,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02059,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02060,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02061,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02062,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02063,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02064,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02065,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02066,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02067,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02068,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02069,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02070,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02071,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02072,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02073,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02074,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02075,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02076,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02077,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02078,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02079,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02080,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02081,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02082,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
E02083,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,current
E02084,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,current
E02085,2026-04-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,current
